dataset,filename,start_time,end_time,start_frequency,end_frequency,annotation,annotator,start_datetime,end_datetime,is_box
dataset1,2022-07-07T10-01-13_000.wav,0,10,0,72000.0,whistle,annotator2,2022-07-07T10:01:13.000+02:00,2022-07-07T10:01:23.000+02:00,0
dataset1,2022-07-07T10-01-13_000.wav,0,0.973524544953116,7593.75,21375.0,whistle,annotator2,2022-07-07T10:01:13.000+02:00,2022-07-07T10:01:13.973+02:00,1
dataset1,2022-07-07T10-01-13_000.wav,0,10,0,72000.0,whistle,annotator1,2022-07-07T10:01:13.000+02:00,2022-07-07T10:01:23.000+02:00,0
dataset1,2022-07-07T10-01-13_000.wav,0,0.857694429123001,8718.75,25171.875,whistle,annotator1,2022-07-07T10:01:13.000+02:00,2022-07-07T10:01:13.857+02:00,1
dataset1,2022-07-07T10-01-43_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:01:43.000+02:00,2022-07-07T10:01:53.000+02:00,0
dataset1,2022-07-07T10-01-43_000.wav,5.7280750137893,9.58907887479316,0,71156.25,click,annotator2,2022-07-07T10:01:48.728+02:00,2022-07-07T10:01:52.589+02:00,1
dataset1,2022-07-07T10-01-53_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:01:53.000+02:00,2022-07-07T10:02:03.000+02:00,0
dataset1,2022-07-07T10-01-53_000.wav,0,10,0,72000.0,click,annotator1,2022-07-07T10:01:53.000+02:00,2022-07-07T10:02:03.000+02:00,0
dataset1,2022-07-07T10-01-55_000.wav,2.81025923883067,6.89740761169333,29953.125,55828.125,click,annotator1,2022-07-07T10:01:55.810+02:00,2022-07-07T10:01:59.897+02:00,1
dataset1,2022-07-07T10-01-53_000.wav,2.98124655267512,7.06839492553778,0,71156.25,click,annotator2,2022-07-07T10:01:55.981+02:00,2022-07-07T10:02:00.068+02:00,1
dataset1,2022-07-07T10-02-03_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:02:03.000+02:00,2022-07-07T10:02:13.000+02:00,0
dataset1,2022-07-07T10-02-03_000.wav,0,10,0,72000.0,click,annotator1,2022-07-07T10:02:03.000+02:00,2022-07-07T10:02:13.000+02:00,0
dataset1,2022-07-07T10-02-03_000.wav,1.59680088251517,8.06122448979592,4218.75,72000.0,click,annotator2,2022-07-07T10:02:04.596+02:00,2022-07-07T10:02:11.061+02:00,1
dataset1,2022-07-07T10-02-04_000.wav,1.6023166023166,7.22835079977937,30656.25,59343.75,click,annotator1,2022-07-07T10:02:04.602+02:00,2022-07-07T10:02:10.228+02:00,1
dataset1,2022-07-07T10-02-13_000.wav,0,10,0,72000.0,buzz,annotator2,2022-07-07T10:02:13.000+02:00,2022-07-07T10:02:23.000+02:00,0
dataset1,2022-07-07T10-02-13_000.wav,6.74296745725317,7.37727523441809,16031.25,72000.0,buzz,annotator2,2022-07-07T10:02:19.742+02:00,2022-07-07T10:02:20.377+02:00,1
dataset1,2022-07-07T10-06-03_000.wav,0,10,0,72000.0,whistle,annotator2,2022-07-07T10:06:03.000+02:00,2022-07-07T10:06:13.000+02:00,0
dataset1,2022-07-07T10-06-03_000.wav,0,10,0,72000.0,whistle,annotator1,2022-07-07T10:06:03.000+02:00,2022-07-07T10:06:13.000+02:00,0
dataset1,2022-07-07T10-06-04_000.wav,1.74020959735245,2.62272476558191,6328.125,16312.5,whistle,annotator1,2022-07-07T10:06:04.740+02:00,2022-07-07T10:06:05.622+02:00,1
dataset1,2022-07-07T10-06-12_000.wav,9.4015444015444,10.0,7031.25,16312.5,whistle,annotator1,2022-07-07T10:06:12.401+02:00,2022-07-07T10:06:13.000+02:00,1
dataset1,2022-07-07T10-06-03_000.wav,9.46773303916161,10.0,3796.875,16593.75,whistle,annotator2,2022-07-07T10:06:12.467+02:00,2022-07-07T10:06:13.000+02:00,1
dataset1,2022-07-07T10-07-53_000.wav,0,10,0,72000.0,buzz,annotator2,2022-07-07T10:07:53.000+02:00,2022-07-07T10:08:03.000+02:00,0
dataset1,2022-07-07T10-07-53_000.wav,0.256480970766685,0.642581356867071,15468.75,54421.875,buzz,annotator2,2022-07-07T10:07:53.256+02:00,2022-07-07T10:07:53.642+02:00,1
dataset1,2022-07-07T10-10-13_000.wav,0,10,0,72000.0,buzz,annotator2,2022-07-07T10:10:13.000+02:00,2022-07-07T10:10:23.000+02:00,0
dataset1,2022-07-07T10-10-13_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:10:13.000+02:00,2022-07-07T10:10:23.000+02:00,0
dataset1,2022-07-07T10-10-13_000.wav,3.57694429123001,7.28350799779371,0,70031.25,click,annotator2,2022-07-07T10:10:16.576+02:00,2022-07-07T10:10:20.283+02:00,1
dataset1,2022-07-07T10-10-13_000.wav,8.1715388858246,8.50799779371208,9562.5,51328.125,buzz,annotator2,2022-07-07T10:10:21.171+02:00,2022-07-07T10:10:21.507+02:00,1
dataset1,2022-07-07T10-11-43_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:11:43.000+02:00,2022-07-07T10:11:53.000+02:00,0
dataset1,2022-07-07T10-11-43_000.wav,2.45173745173745,7.34969663541092,5484.375,71859.375,click,annotator2,2022-07-07T10:11:45.451+02:00,2022-07-07T10:11:50.349+02:00,1
dataset1,2022-07-07T10-15-23_000.wav,0,10,0,72000.0,whistle,annotator2,2022-07-07T10:15:23.000+02:00,2022-07-07T10:15:33.000+02:00,0
dataset1,2022-07-07T10-15-23_000.wav,0,10,0,72000.0,whistle,annotator1,2022-07-07T10:15:23.000+02:00,2022-07-07T10:15:33.000+02:00,0
dataset1,2022-07-07T10-15-23_000.wav,3.53833425261997,4.24434638720353,7031.25,13359.375,whistle,annotator2,2022-07-07T10:15:26.538+02:00,2022-07-07T10:15:27.244+02:00,1
dataset1,2022-07-07T10-15-26_000.wav,3.59349145063431,4.43188086045229,10125.0,12937.5,whistle,annotator1,2022-07-07T10:15:26.593+02:00,2022-07-07T10:15:27.431+02:00,1
dataset1,2022-07-07T10-20-53_000.wav,0,10,0,72000.0,buzz,annotator2,2022-07-07T10:20:53.000+02:00,2022-07-07T10:21:03.000+02:00,0
dataset1,2022-07-07T10-20-53_000.wav,0,10,0,72000.0,buzz,annotator1,2022-07-07T10:20:53.000+02:00,2022-07-07T10:21:03.000+02:00,0
dataset1,2022-07-07T10-20-53_000.wav,5.36403750689465,5.65637065637066,4500.0,70734.375,buzz,annotator2,2022-07-07T10:20:58.364+02:00,2022-07-07T10:20:58.656+02:00,1
dataset1,2022-07-07T10-20-59_000.wav,6.20242691671263,7.05184776613348,28125.0,49640.625,buzz,annotator1,2022-07-07T10:20:59.202+02:00,2022-07-07T10:21:00.051+02:00,1
dataset1,2022-07-07T10-20-53_000.wav,6.42857142857143,6.83673469387755,4781.25,70453.125,buzz,annotator2,2022-07-07T10:20:59.428+02:00,2022-07-07T10:20:59.836+02:00,1
dataset1,2022-07-07T10-22-13_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:22:13.000+02:00,2022-07-07T10:22:23.000+02:00,0
dataset1,2022-07-07T10-22-13_000.wav,0,2.61720904578047,11531.25,72000.0,click,annotator2,2022-07-07T10:22:13.000+02:00,2022-07-07T10:22:15.617+02:00,1
dataset1,2022-07-07T10-22-53_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:22:53.000+02:00,2022-07-07T10:23:03.000+02:00,0
dataset1,2022-07-07T10-22-53_000.wav,2.24214009928296,4.40430226144512,0,71156.25,click,annotator2,2022-07-07T10:22:55.242+02:00,2022-07-07T10:22:57.404+02:00,1
dataset1,2022-07-07T10-24-33_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:24:33.000+02:00,2022-07-07T10:24:43.000+02:00,0
dataset1,2022-07-07T10-24-33_000.wav,1.02316602316602,5.08825151682294,4781.25,72000.0,click,annotator2,2022-07-07T10:24:34.023+02:00,2022-07-07T10:24:38.088+02:00,1
dataset1,2022-07-07T10-24-43_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:24:43.000+02:00,2022-07-07T10:24:53.000+02:00,0
dataset1,2022-07-07T10-24-43_000.wav,0,10,0,72000.0,buzz,annotator1,2022-07-07T10:24:43.000+02:00,2022-07-07T10:24:53.000+02:00,0
dataset1,2022-07-07T10-24-43_000.wav,0,10,0,72000.0,click,annotator1,2022-07-07T10:24:43.000+02:00,2022-07-07T10:24:53.000+02:00,0
dataset1,2022-07-07T10-24-43_000.wav,0.532266960838389,1.1169332597904,20671.875,51046.875,buzz,annotator1,2022-07-07T10:24:43.532+02:00,2022-07-07T10:24:44.116+02:00,1
dataset1,2022-07-07T10-24-44_000.wav,1.46442360728075,5.45228902371759,26296.875,52312.5,click,annotator1,2022-07-07T10:24:44.464+02:00,2022-07-07T10:24:48.452+02:00,1
dataset1,2022-07-07T10-24-43_000.wav,1.54715940430226,5.18753447324876,6046.875,72000.0,click,annotator2,2022-07-07T10:24:44.547+02:00,2022-07-07T10:24:48.187+02:00,1
dataset1,2022-07-07T10-25-23_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:25:23.000+02:00,2022-07-07T10:25:33.000+02:00,0
dataset1,2022-07-07T10-25-23_000.wav,6.74296745725317,8.76723662437948,0,71437.5,click,annotator2,2022-07-07T10:25:29.742+02:00,2022-07-07T10:25:31.767+02:00,1
dataset1,2022-07-07T10-25-33_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:25:33.000+02:00,2022-07-07T10:25:43.000+02:00,0
dataset1,2022-07-07T10-25-33_000.wav,0,10,0,72000.0,click,annotator1,2022-07-07T10:25:33.000+02:00,2022-07-07T10:25:43.000+02:00,0
dataset1,2022-07-07T10-25-39_000.wav,6.47821290678433,9.6773303916161,26015.625,48375.0,click,annotator1,2022-07-07T10:25:39.478+02:00,2022-07-07T10:25:42.677+02:00,1
dataset1,2022-07-07T10-25-33_000.wav,6.81467181467181,9.92002206287921,0,71718.75,click,annotator2,2022-07-07T10:25:39.814+02:00,2022-07-07T10:25:42.920+02:00,1
dataset1,2022-07-07T10-25-43_000.wav,0,10,0,72000.0,click,annotator2,2022-07-07T10:25:43.000+02:00,2022-07-07T10:25:53.000+02:00,0
dataset1,2022-07-07T10-25-43_000.wav,0,1.75675675675676,4078.125,72000.0,click,annotator2,2022-07-07T10:25:43.000+02:00,2022-07-07T10:25:44.756+02:00,1
dataset1,2022-07-07T10-25-43_000.wav,0,10,0,72000.0,click,annotator1,2022-07-07T10:25:43.000+02:00,2022-07-07T10:25:53.000+02:00,0
dataset1,2022-07-07T10-25-43_000.wav,0,1.88913403199117,30937.5,50484.375,click,annotator1,2022-07-07T10:25:43.000+02:00,2022-07-07T10:25:44.889+02:00,1
dataset1,2022-07-07T10-25-50_000.wav,7.41588527302813,9.25813568670712,18984.375,59062.5,click,annotator1,2022-07-07T10:25:50.415+02:00,2022-07-07T10:25:52.258+02:00,1
