dataset,filename,annotator1,annotator2
dataset1,2022_07_07T10_00_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_00_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_00_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_00_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_00_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_00_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_01_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_02_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_03_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_04_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_05_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_06_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_07_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_08_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_09_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_10_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_11_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_12_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_13_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_14_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_15_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_16_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_17_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_18_13.wav,FINISHED,FINISHED
