dataset,filename,lleboul,mtorte
MADW,2020_01_08_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_08_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_08_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_08_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_09_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_10_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_10_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_10_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_11_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_11_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_11_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_11_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_13_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_13_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_14_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_15_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_15_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_16_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_16_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_16_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_16_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_18_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_18_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_19_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_20_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_20_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_20_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_21_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_21_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_21_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_21_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_21_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_22_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_22_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_22_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_01_23_02_00_00_000000+0000.wav,FINISHED,CREATED
