dataset,filename,result_id,is_update_of_id,start_time,end_time,start_frequency,end_frequency,annotation,annotator,annotator_expertise,start_datetime,end_datetime,is_box,type,confidence_indicator_label,confidence_indicator_level,comments,signal_quality,signal_start_frequency,signal_end_frequency,signal_relative_max_frequency_count,signal_relative_min_frequency_count,signal_has_harmonics,signal_trend,signal_steps_count,created_at_phase
NEAMS,2020_01_26_13_00_00_000000+0000.wav,501178,,0.0,3600.0,0.0,100.0,Airgun,lleboul,,2020-01-26T13:00:00.000+00:00,2020-01-26T14:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_13_00_00_000000+0000.wav,501179,,0.0,2424.06429753369,3.0,38.0,Airgun,lleboul,,2020-01-26T13:00:00.000+00:00,2020-01-26T13:40:24.064+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_13_00_00_000000+0000.wav,501180,,0.0,3600.0,0.0,100.0,Minke whale,lleboul,,2020-01-26T13:00:00.000+00:00,2020-01-26T14:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_13_00_00_000000+0000.wav,501181,,84.3905129619415,998.928374438579,67.0,100.0,Minke whale,lleboul,,2020-01-26T13:01:24.390+00:00,2020-01-26T13:16:38.928+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_19_00_00_000000+0000.wav,501182,,0.0,3600.0,0.0,100.0,Minke whale,lleboul,,2020-01-26T19:00:00.000+00:00,2020-01-26T20:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_19_00_00_000000+0000.wav,501183,,168.355527539201,3508.80151288315,67.0,99.0,Minke whale,lleboul,,2020-01-26T19:02:48.355+00:00,2020-01-26T19:58:28.801+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_19_00_00_000000+0000.wav,501184,,0.0,3600.0,0.0,100.0,Airgun,lleboul,,2020-01-26T19:00:00.000+00:00,2020-01-26T20:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_26_19_00_00_000000+0000.wav,501185,,715.26278465054,3574.61192971397,4.0,28.0,Airgun,lleboul,,2020-01-26T19:11:55.262+00:00,2020-01-26T19:59:34.611+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_27_10_00_00_000000+0000.wav,501186,,0.0,3600.0,0.0,100.0,Madagascan pygmy blue whale chorus,lleboul,,2020-01-27T10:00:00.000+00:00,2020-01-27T11:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_27_15_00_00_000000+0000.wav,501187,,0.0,3600.0,0.0,100.0,Airgun,lleboul,,2020-01-27T15:00:00.000+00:00,2020-01-27T16:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_27_15_00_00_000000+0000.wav,501188,,0.0,3583.68922858719,4.0,52.0,Airgun,lleboul,,2020-01-27T15:00:00.000+00:00,2020-01-27T15:59:43.689+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_27_22_00_00_000000+0000.wav,501189,,18.5800961311165,3588.2278780238,2.0,60.0,Airgun,lleboul,,2020-01-27T22:00:18.580+00:00,2020-01-27T22:59:48.227+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_27_22_00_00_000000+0000.wav,501190,,0.0,3600.0,0.0,100.0,Madagascan pygmy blue whale chorus,lleboul,,2020-01-27T22:00:00.000+00:00,2020-01-27T23:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_28_03_00_00_000000+0000.wav,501191,,0.0,3600.0,0.0,100.0,Airgun,lleboul,,2020-01-28T03:00:00.000+00:00,2020-01-28T04:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_28_03_00_00_000000+0000.wav,501192,,9.5027972578993,3565.53463084075,5.0,68.0,Airgun,lleboul,,2020-01-28T03:00:09.502+00:00,2020-01-28T03:59:25.534+00:00,1,BOX,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_28_03_00_00_000000+0000.wav,501193,,0.0,3600.0,0.0,100.0,Madagascan pygmy blue whale chorus,lleboul,,2020-01-28T03:00:00.000+00:00,2020-01-28T04:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_29_08_00_00_000000+0000.wav,501194,,0.0,3600.0,0.0,100.0,Madagascan pygmy blue whale chorus,lleboul,,2020-01-29T08:00:00.000+00:00,2020-01-29T09:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
NEAMS,2020_01_29_08_00_00_000000+0000.wav,506458,,0.0,3600.0,0.0,100.0,Sri Lanka pygmy blue whale song,lleboul,,2020-01-29T08:00:00.000+00:00,2020-01-29T09:00:00.000+00:00,0,WEAK,,,,,,,,,,,,ANNOTATION
