dataset,filename,lleboul,mtorte
NEAMS,2020_01_26_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_26_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_26_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_27_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_27_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_27_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_28_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_28_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_29_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_29_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_29_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_01_31_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_03_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_03_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_03_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_03_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_04_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_04_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_05_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_05_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_06_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_06_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_06_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_06_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_07_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_07_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_07_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_07_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_09_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_09_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_10_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_12_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_12_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_12_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_12_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_13_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_13_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_13_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_14_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_14_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_15_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_15_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_02_16_05_00_00_000000+0000.wav,FINISHED,CREATED
