dataset,filename,start_time,end_time,start_frequency,end_frequency,annotation,annotator,start_datetime,end_datetime
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg000.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:25:46.000+00:00,2022-07-17T00:25:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg002.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:26:06.000+00:00,2022-07-17T00:26:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg002.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:06.000+00:00,2022-07-17T00:26:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg003.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:16.000+00:00,2022-07-17T00:26:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg004.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:26:26.000+00:00,2022-07-17T00:26:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg004.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:26.000+00:00,2022-07-17T00:26:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg005.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:26:36.000+00:00,2022-07-17T00:26:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg005.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:36.000+00:00,2022-07-17T00:26:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg005.wav,0,10,0,64000.0,Odontocete whistles,mtorte,2022-07-17T00:26:36.000+00:00,2022-07-17T00:26:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg006.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:26:46.000+00:00,2022-07-17T00:26:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg006.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:46.000+00:00,2022-07-17T00:26:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg007.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:26:56.000+00:00,2022-07-17T00:27:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg008.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:27:06.000+00:00,2022-07-17T00:27:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg009.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:27:16.000+00:00,2022-07-17T00:27:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg009.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:27:16.000+00:00,2022-07-17T00:27:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg011.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:27:36.000+00:00,2022-07-17T00:27:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg012.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:27:46.000+00:00,2022-07-17T00:27:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg012.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:27:46.000+00:00,2022-07-17T00:27:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg013.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:27:56.000+00:00,2022-07-17T00:28:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg013.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:27:56.000+00:00,2022-07-17T00:28:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg014.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:28:06.000+00:00,2022-07-17T00:28:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg014.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:28:06.000+00:00,2022-07-17T00:28:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg016.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:28:26.000+00:00,2022-07-17T00:28:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg017.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:28:36.000+00:00,2022-07-17T00:28:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg017.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:28:36.000+00:00,2022-07-17T00:28:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg017.wav,0,10,0,64000.0,Odontocete whistles,mtorte,2022-07-17T00:28:36.000+00:00,2022-07-17T00:28:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg020.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:06.000+00:00,2022-07-17T00:29:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg021.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:16.000+00:00,2022-07-17T00:29:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg022.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:26.000+00:00,2022-07-17T00:29:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg022.wav,0,10,0,64000.0,Odontocete whistles,mtorte,2022-07-17T00:29:26.000+00:00,2022-07-17T00:29:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg023.wav,0,10,0,64000.0,Odontocete Buzzs,mtorte,2022-07-17T00:29:36.000+00:00,2022-07-17T00:29:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg023.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:36.000+00:00,2022-07-17T00:29:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg024.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:46.000+00:00,2022-07-17T00:29:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg025.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:29:56.000+00:00,2022-07-17T00:30:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg026.wav,0,10,0,64000.0,Odontocete clics,mtorte,2022-07-17T00:30:06.000+00:00,2022-07-17T00:30:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg007.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:26:56.000+00:00,2022-07-17T00:27:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg008.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:27:06.000+00:00,2022-07-17T00:27:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg012.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:27:46.000+00:00,2022-07-17T00:27:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg012.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:27:46.000+00:00,2022-07-17T00:27:56.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg013.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:27:56.000+00:00,2022-07-17T00:28:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg013.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:27:56.000+00:00,2022-07-17T00:28:06.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg014.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:28:06.000+00:00,2022-07-17T00:28:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg014.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:28:06.000+00:00,2022-07-17T00:28:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg015.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:28:16.000+00:00,2022-07-17T00:28:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg016.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:28:26.000+00:00,2022-07-17T00:28:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg017.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:28:36.000+00:00,2022-07-17T00:28:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg017.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:28:36.000+00:00,2022-07-17T00:28:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg020.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:29:06.000+00:00,2022-07-17T00:29:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg020.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:29:06.000+00:00,2022-07-17T00:29:16.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg021.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:29:16.000+00:00,2022-07-17T00:29:26.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg022.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:29:26.000+00:00,2022-07-17T00:29:36.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg023.wav,0,10,0,64000.0,Odontocete Buzzs,jbeesa,2022-07-17T00:29:36.000+00:00,2022-07-17T00:29:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg023.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:29:36.000+00:00,2022-07-17T00:29:46.000+00:00
CETIROISE_PONIT_B_20220717 (10_128000),channelA_2022-07-17_00-25-46_seg024.wav,0,10,0,64000.0,Odontocete clics,jbeesa,2022-07-17T00:29:46.000+00:00,2022-07-17T00:29:56.000+00:00
