dataset,filename,bcolon,mdupon
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_06T23_59_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_06T23_59_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_00_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_17.wav,FINISHED,STARTED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_01_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_02_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_03_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_04_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_04_17.wav,FINISHED,FINISHED
