dataset;filename;result_id;is_update_of_id;start_time;end_time;start_frequency;end_frequency;annotation;annotator;annotator_expertise;start_datetime;end_datetime;is_box;type;confidence_indicator_label;confidence_indicator_level;comments;signal_quality;signal_start_frequency;signal_end_frequency;signal_relative_max_frequency_count;signal_relative_min_frequency_count;signal_has_harmonics;signal_trend;signal_steps_count;created_at_phase
ELAN;2020_01_14_02_00_00_000000+0000.wav;494368;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale song;mtorte;EXPERT;2020-01-14T02:00:00.000+00:00;2020-01-14T03:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_14_02_00_00_000000+0000.wav;496042;;0.0;3600.0;0.0;100.0;Antarctic blue whale chorus;emorin;AVERAGE;2020-01-14T02:00:00.000+00:00;2020-01-14T03:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_14_02_00_00_000000+0000.wav;496043;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;emorin;AVERAGE;2020-01-14T02:00:00.000+00:00;2020-01-14T03:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_14_02_00_00_000000+0000.wav;496044;;0.0;3600.0;0.0;100.0;Fin whale chorus;emorin;AVERAGE;2020-01-14T02:00:00.000+00:00;2020-01-14T03:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_18_19_00_00_000000+0000.wav;494386;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-18T19:00:00.000+00:00;2020-01-18T20:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_20_03_00_00_000000+0000.wav;494394;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-20T03:00:00.000+00:00;2020-01-20T04:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_20_05_00_00_000000+0000.wav;496461;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-20T05:00:00.000+00:00;2020-01-20T06:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_20_05_00_00_000000+0000.wav;496462;;0.0;3600.0;0.0;100.0;Antarctic blue whale chorus;lleboul;;2020-01-20T05:00:00.000+00:00;2020-01-20T06:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_20_21_00_00_000000+0000.wav;494396;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-20T21:00:00.000+00:00;2020-01-20T22:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
ELAN;2020_01_20_22_00_00_000000+0000.wav;494397;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-20T22:00:00.000+00:00;2020-01-20T23:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
