dataset;filename;result_id;is_update_of_id;start_time;end_time;start_frequency;end_frequency;annotation;annotator;annotator_expertise;start_datetime;end_datetime;is_box;type;confidence_indicator_label;confidence_indicator_level;comments;signal_quality;signal_start_frequency;signal_end_frequency;signal_relative_max_frequency_count;signal_relative_min_frequency_count;signal_has_harmonics;signal_trend;signal_steps_count;created_at_phase
MADW;2020_01_08_01_00_00_000000+0000.wav;496511;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-08T01:00:00.000+00:00;2020-01-08T02:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_01_00_00_000000+0000.wav;496512;;23.1187455677252;3588.2278780238;2.0;98.0;Airgun;lleboul;;2020-01-08T01:00:23.118+00:00;2020-01-08T01:59:48.227+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_01_00_00_000000+0000.wav;496535;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-08T01:00:00.000+00:00;2020-01-08T02:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_05_00_00_000000+0000.wav;496536;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-08T05:00:00.000+00:00;2020-01-08T06:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_05_00_00_000000+0000.wav;501176;;0.0;3600.0;0.0;100.0;Australian pygmy blue whale chorus;lleboul;;2020-01-08T05:00:00.000+00:00;2020-01-08T06:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_13_00_00_000000+0000.wav;496684;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-08T13:00:00.000+00:00;2020-01-08T14:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_13_00_00_000000+0000.wav;496685;;11.7721219762036;3592.76652746041;0.0;36.0;Airgun;lleboul;;2020-01-08T13:00:11.772+00:00;2020-01-08T13:59:52.766+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_21_00_00_000000+0000.wav;496686;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-08T21:00:00.000+00:00;2020-01-08T22:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_08_21_00_00_000000+0000.wav;496687;;7.23347253959499;3590.4972027421;1.0;30.0;Airgun;lleboul;;2020-01-08T21:00:07.233+00:00;2020-01-08T21:59:50.497+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_09_13_00_00_000000+0000.wav;496688;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-09T13:00:00.000+00:00;2020-01-09T14:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_03_00_00_000000+0000.wav;496689;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-10T03:00:00.000+00:00;2020-01-10T04:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_03_00_00_000000+0000.wav;496690;;4.96414782129068;3592.76652746041;1.0;33.0;Airgun;lleboul;;2020-01-10T03:00:04.964+00:00;2020-01-10T03:59:52.766+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_12_00_00_000000+0000.wav;496554;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-10T12:00:00.000+00:00;2020-01-10T13:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_12_00_00_000000+0000.wav;496555;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-10T12:00:00.000+00:00;2020-01-10T13:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_12_00_00_000000+0000.wav;496556;;0.0;3516.03498542274;1.0;25.0;Airgun;lleboul;;2020-01-10T12:00:00.000+00:00;2020-01-10T12:58:36.034+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_22_00_00_000000+0000.wav;496691;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-10T22:00:00.000+00:00;2020-01-10T23:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_22_00_00_000000+0000.wav;496692;;0.0;3585.95855330549;1.0;29.0;Airgun;lleboul;;2020-01-10T22:00:00.000+00:00;2020-01-10T22:59:45.958+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_10_22_00_00_000000+0000.wav;501177;;0.0;3600.0;0.0;100.0;Australian pygmy blue whale chorus;lleboul;;2020-01-10T22:00:00.000+00:00;2020-01-10T23:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_11_00_00_000000+0000.wav;496693;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-11T11:00:00.000+00:00;2020-01-11T12:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_11_00_00_000000+0000.wav;496694;;16.3107714128122;2387.75510204082;1.0;21.0;Airgun;lleboul;;2020-01-11T11:00:16.310+00:00;2020-01-11T11:39:47.755+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_17_00_00_000000+0000.wav;496579;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-11T17:00:00.000+00:00;2020-01-11T18:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_17_00_00_000000+0000.wav;496580;;23.1187455677252;3595.03585217871;2.0;58.0;Airgun;lleboul;;2020-01-11T17:00:23.118+00:00;2020-01-11T17:59:55.035+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_17_00_00_000000+0000.wav;496581;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-11T17:00:00.000+00:00;2020-01-11T18:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_18_00_00_000000+0000.wav;496582;;11.7721219762036;3588.2278780238;1.0;37.0;Airgun;lleboul;;2020-01-11T18:00:11.772+00:00;2020-01-11T18:59:48.227+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_18_00_00_000000+0000.wav;496583;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-11T18:00:00.000+00:00;2020-01-11T19:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_11_19_00_00_000000+0000.wav;496584;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-11T19:00:00.000+00:00;2020-01-11T20:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_13_09_00_00_000000+0000.wav;496585;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-13T09:00:00.000+00:00;2020-01-13T10:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_13_12_00_00_000000+0000.wav;496615;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-13T12:00:00.000+00:00;2020-01-13T13:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_14_08_00_00_000000+0000.wav;496616;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-14T08:00:00.000+00:00;2020-01-14T09:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_15_23_00_00_000000+0000.wav;496617;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-15T23:00:00.000+00:00;2020-01-16T00:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_16_06_00_00_000000+0000.wav;496618;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-16T06:00:00.000+00:00;2020-01-16T07:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_16_15_00_00_000000+0000.wav;496619;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-16T15:00:00.000+00:00;2020-01-16T16:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_16_16_00_00_000000+0000.wav;496620;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-16T16:00:00.000+00:00;2020-01-16T17:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_16_17_00_00_000000+0000.wav;496621;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-16T17:00:00.000+00:00;2020-01-16T18:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_18_04_00_00_000000+0000.wav;496622;;0.0;3600.0;0.0;100.0;Airgun;lleboul;;2020-01-18T04:00:00.000+00:00;2020-01-18T05:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
MADW;2020_01_18_04_00_00_000000+0000.wav;496623;;0.0;3581.41990386888;2.0;26.0;Airgun;lleboul;;2020-01-18T04:00:00.000+00:00;2020-01-18T04:59:41.419+00:00;1;BOX;;;;;;;;;;;;ANNOTATION
MADW;2020_01_18_08_00_00_000000+0000.wav;496648;;0.0;3600.0;0.0;100.0;Madagascan pygmy blue whale chorus;lleboul;;2020-01-18T08:00:00.000+00:00;2020-01-18T09:00:00.000+00:00;0;WEAK;;;;;;;;;;;;ANNOTATION
