dataset,filename,jbeesa,mtorte
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_03_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_04_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_05_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_06_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_07_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_08_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_09_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_10_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_11_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_12_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_13_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_14_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_15_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_16_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_17_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_17_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_17_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_17_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_22_17_40_00.wav,UNASSIGNED,FINISHED
